 lo;la;aId;aCIId;t;cId 
 10.8422517;59.8885016;215018;215023;Bøler private familibarnehage avd. Unni;56580 
 10.8445139;59.8831846;214801;214806;Bøler sentrum barnehage;56549 
 10.8438596;59.8829419;217640;217645;Bøler åpen barnehage;57897 
 10.6931296;59.9637421;214309;214314;Casa dei Bambini Montessoribarnehage;56484 
 10.6925812;59.9260296;218282;218287;Casinetto barnehage;57981 
 10.6889784;59.9256329;213833;213838;Casinetto borettslags barnehage;56416 
 10.8381401;59.8257477;213777;213782;Christiania Barnehave Bjørndal;56408 
 10.9047403;59.9470316;213560;213565;Christiania barnehave Høybråten;56377 
 10.8020953;59.8775306;212776;212781;Christiania Barnehave Nordstrand;56265 
 10.8248402;59.9030466;217530;217535;Christinedal kunst- og kulturbarnehage;57883 
 10.7333754;59.9392182;213182;213187;Colletløkka barnehage;56323 
 10.6871777;59.9404468;214113;214118;Dalskroken barnehage;56456 
 10.7351751;59.9440577;212027;212032;Damplassen barnehage;56158 
 10.7786453;59.9139902;263207;263202;Damvokteren familiebarnehage Norderhovgata;68458 
 10.7825746;59.9153696;211285;211290;Damvokteren friluftsbarnehage;56052 
 10.6909418;59.9538153;214316;214321;Davinas barnehage;56485 
 10.7012348;59.9199372;210823;210828;De ni musene familiebarnehage;55986 
 10.7992604;59.8712121;212797;212802;Den blå appelsin  ;56268 
 10.7172832;59.9170164;210830;210835;Den Franske Skoles barnehage;55987 
 10.7430430;59.9256118;213189;213194;Den Jødiske barnehage;56324 
 10.8245323;59.9167395;210277;210282;Den russiske barnehage;55908 
 10.7256793;59.9251032;210837;210842;Deutscher Kindergarten;55988 
 10.7941010;59.9427900;212034;212039;Disen gårds Kanvas- barnehage;56159 
 10.7965905;59.9430852;211887;211892;Disengrenda barnehage;56138 
 10.6712830;59.9272554;213840;213845;Dokka Barnehage;56417 
 10.7383898;59.9198864;213196;213201;Dr. Brandts barnehage;56325 
 10.7954301;59.8715213;212545;212550;Drengestua barnehage;56232 
 10.7510840;59.9383520;212909;212914;Dronning Louises barnehage;56284 
 10.6814757;59.9495488;214610;214615;Du og Jeg og Vi To familiebarnehage;56527 
 10.8001660;59.9066493;211292;211297;Dumpa Kanvas-musikkbarnehage;56053 
 10.7759025;59.9313188;211649;211654;Dynekilen barnehage;56104 
 10.8504505;59.8924969;214808;214813;Eftasåsen barnehage;56550 
 10.7483236;59.9446470;212041;212046;Eikenøtten barnehage;56160 
 10.7935521;59.9050174;238200;238205;Eitillstad FUS barnehage;62343 
 10.7786822;59.8925967;212699;212704;Ekeberg idrettsbarnehage AS;56254 
 10.9215681;59.9375740;210452;210457;Ellingsrud private barnehage;55933 
 10.6677771;59.9243345;218335;218340;Elmholt barnehage;58037 
 10.8077298;59.8467290;213686;213691;Elverhøy barnehage;56395 
 10.7682325;59.9137817;211103;211108;Enerhaugen barnehage;56026 
 10.7850569;59.9073531;211299;211304;Enga barnehage;56054 
 10.7761011;59.9608444;211894;211899;Engebråten barnehage;56139 
 10.8197564;59.8847047;220037;220042;Engleslottet familiebarnehage;58432 
 10.7210125;59.9550293;212461;212466;Eplehagen Kanvasbarnehage;56220 
 10.7933050;59.8583527;212804;212809;Eplekneika barnehage  ;56269 
 10.7898616;59.9209578;271978;271983;Espira Marienfryd barnehage;70848 
 10.7990333;59.9327306;253173;253178;Espira Spirea;65922 
 10.7813091;59.9376873;281672;281677;Espira Torshovdalen barnehage;72083 
 10.8026718;59.9109012;211110;211115;Etterstad barnehage;56027 
 10.7912931;59.9094229;211117;211122;Etterstadgata barnehage;56028 
 10.8032858;59.9082252;211124;211129;Etterstadjordet barnehage;56029 
 10.8054453;59.9089306;211131;211136;Etterstadsletta barnehage;56030 
 10.7576221;59.9170818;211838;211843;Eventyrbrua Steinerbarnehage;56131 
 10.8188982;59.8478669;213749;213754;Eventyrlia FUS barnehage as;56404 
 10.7732831;59.9488563;212048;212053;Eventyrstua barnehage;56161 
 10.7307734;59.9330975;213203;213208;Fagerborg Menighetsbarnehage;56326 
