 lo;la;Name 
 10.7599760;59.9460490;Montessoribarnehagen Solsikken Maristova;56173 
 10.7374961;59.9640340;Montessoribarnehagen Solsikken Sognestuen;56174 
 10.6377063;59.9477197;Montessoribarnehagen Solsikken Solkroken;56507 
 10.7641856;59.9453470;Mor Go`hjertas barnehage;56291 
 10.7638347;59.9142876;Mosaikk barnehage;56070 
 10.8608100;59.9123017;Mummidalen familiebarnehage;58489 
 10.8432056;59.8894578;Mummidalen familiebarnehage;58437 
 10.8133390;59.8578233;Mummitrollet familiebarnehage (avdeling 2);58236 
 10.7878843;59.9096196;Munik barnehage;56063 
 10.9153872;59.9313000;Munkebekken Idrettsbarnehage;58506 
 10.8141347;59.8641426;Munkelia barnehage;56229 
 10.7786559;59.9075706;Munkenga barnehage;56044 
 10.8163027;59.8531612;Munkerudsletta barnehage;56248 
 10.8139308;59.8600810;Munkerudtoppen;56258 
 10.6836454;59.9088651;Musehuset barnehage;56004 
 10.7894420;59.9611275;Myrer Kanvas-barnehage;56175 
 10.7937317;59.9640609;Myrertoppen barnehage;56176 
 10.8539911;59.8865687;Myrvoll barnehage;56562 
 10.6569054;59.9303428;Mærradalen barnehage;56423 
 10.6360160;59.9393188;Møllefaret barnehage;58078 
 10.6330701;59.9546071;Mølleplassen Kanvas barnehage;56495 
 10.6327940;59.9545260;Mølleplassen spesialbarnehage;56513 
 10.6598131;59.9574063;Måltrosten barnehage;56496 
 10.7098658;59.9278515;Månestråle barnehage;56005 
 10.7676484;59.8794599;Nedre Bekkelaget barnehage;56233 
 10.9202437;59.9595512;Nedre Fossum gård barnehage;56358 
 10.6838403;59.9282252;Nedre Silkestrå barnehage;56424 
 10.8186396;59.9437718;Nemo familiebarnehage, avd. Brobekkveien;58522 
 10.8487035;59.9538371;Nemo familiebarnehager, avdeling Rødtvet;64642 
 10.7443120;59.9609543;Nordberg barnehage;56147 
 10.7426424;59.9632023;Nordberg menighets barnehage;56177 
 10.6887487;59.9293301;Nordjordet barnehage;58079 
 10.7684112;59.9414915;Nordpolen FUS barnehage avdeling Idun;65008 
 10.7703721;59.9427959;Nordpolen FUS barnehage avdeling Sandakerveien;56298 
 10.8248562;59.9072160;Nordre Skøyen barnehage;56583 
 10.8652416;59.9251633;Nordre Trosterud Gård barnehage;55938 
 10.7907162;59.8313403;Nordre Ås barnehage;56393 
 10.7840595;59.9408595;Nordre Åsen Kanvas barnehage;56178 
 10.7082063;59.9228930;Nordraaks gate barnehage;56006 
 10.7959669;59.8703875;Nordseter barnehage;56231 
 10.7995261;59.8719399;Nordseterbarnehagene, Avd. Åssida;56239 
 10.7951172;59.8661388;Nordseterknausen;58586 
 10.7858239;59.8331616;Nordskrenten barnehage;56382 
 10.8033470;59.8613621;Nordstrand menighets barnehage;56259 
 10.8717710;59.9505609;Nordtvet barnehage;56087 
 10.7318192;59.9667545;Norges Idrettshøgskoles barnehage;56219 
 10.7176722;59.9547949;Norlandia Gaustadskogen barnehage;56222 
 10.6419842;59.9378169;Norlandia Lysejordet barnehage;56494 
 10.6645399;59.9803391;Norlandia Voksenkollen friluftsbarnehage;56508 
 10.7179121;59.9346990;NRK barnehagen;56346 
 10.7603819;59.9528045;Nydalen barnehage;56179 
 10.8394267;59.8297445;Nyjordet barnehage;56383 
 10.8143487;59.8780680;Nylænde barnehage;56250 
 10.8460658;59.8777427;Nøklevann barnehage;56563 
 10.8085296;59.8627952;Obersten barnehage;56242 
 10.7811442;59.9246173;Ola Narr barnehage;56107 
 10.9094637;59.9517457;Ole Brumm barnehage;56365 
 10.8013772;59.8538812;Ole Brumm familiebarnehage;66021 
 10.7522454;59.9138688;Onkel Tomms hytte, avd. Elghytta;56498 
 10.7522454;59.9138688;Onkel Tomms hytte, avd. Tomms hytte;58362 
 10.7522454;59.9138688;Onkel Tomms Hytte, avd. Vidsyn500moh;58405 
 10.8412313;59.8940175;Oppsal samfunnshus barnehage;56564 
 10.8378623;59.8919773;Oppsaltunet barnehage;56565 
 10.6515774;59.9519821;Orebakken barnehage;56468 
 10.8148553;59.9362491;Orelia barnehge;55956 
 10.7675551;59.9326183;Oskar Braaten barnehage;56292 
 10.7702708;59.9098675;Oslo politidistrikt personalbarnehage Egon;56065 
 10.8833932;59.9305871;Ospa barnehage;55897 
 10.7644969;59.9117643;Papaya Kanvas-barnehage;56066 
 10.6585628;59.9508008;Piloten barnehage;56474 
 10.8120752;60.1311633;Plassen barnehage;55900 
 10.8102637;59.8608094;Plutti Plott familiebarnehage;58238 
 10.7527602;59.9368775;Pontoppidan barnehage;56293 
 10.7119108;59.9118869;Portnerboligen naturbarnehage;56008 
 10.8399787;59.8230366;Preståsen Kanvas-barnhage;56405 
 10.8117240;59.8284779;Prinsdalsbråten barnehage;56384 
 10.6816446;59.9327698;Priorveien barnehage;58080 
 10.8194435;59.8740302;Pynten paviljong barnehage ;56244 
 10.8252249;59.8668059;Rabben barnehage;56246 
 10.8100417;59.8711113;Radarveien barnehage;56234 
 10.8041800;59.6542877;Radiobølgen barnehage;56243 
 10.7769331;59.9396007;Ragnas hage;56294 
 10.8784592;59.9548799;Rasmusbakken barnehage;56088 
 10.8927435;59.9679125;Ravnkollen barnehage;56092 
 10.8000995;59.9360400;Refstad barnehage;55957 
 10.8183153;59.9427698;Refstadsvingen barnehage;55958 
 10.7383647;59.9522649;Rektorhaugen Kanvas barnehage;56180 
 10.7636993;59.9414380;Riflegata barnehage;56295 
 10.7607423;59.9300853;Ringnes Park FUS barnehage;56296 
 10.7029009;59.9482803;Rishaven barnehage;56499 
 10.8239025;59.9331286;Risløkka familiebarnehage;65215 
 10.7698601;59.9230684;Rodeløkka barnehage;56117 
 10.8941884;59.9641722;Romsås senter barnehage;56094 
 10.8990243;59.9716512;Romsåstoppen barnehage;56095 
 10.7267551;59.9259294;Rosenborg barnehage;56009 
 10.7978484;59.8557826;Rosenhagen barnehage;56235 
 10.7757204;59.9292559;Rosenhoff barnehage;56103 
 10.8253493;59.8462521;Rudshøgda Kanvas-naturbarnehage;56412 
 10.6856428;59.9364041;Rugekassen familiebarnehage;56449 
 10.7215358;59.9115347;Ruseløkka barnehage;56010 
 10.8402029;59.8739475;Rustad friluftsbarnehage;56566 
 10.8460204;59.8719510;Rustad gård barnehage;56567 
 10.8495162;59.8718815;Rustadsaga barnehage SA ;56582 
 10.7996250;59.8993220;Rygin barnehage;56245 
 10.6428382;59.9494542;Røa Menighets Barnehage;56500 
 10.6482138;59.9500186;Røahagan familiebarnehage;56533 
 10.8266939;59.9471085;Rødberget naturbarnehage;55959 
 10.6561167;59.9302088;Rødstrupen barnehage;56425 
 10.8016278;59.8584361;Rødstua Barnehage;56240 
 10.8559714;59.9534904;Rødtvet barnehage;56089 
 10.6447532;59.9377467;Rønningen barnehage;56470 
 10.8355733;59.8932262;Rønningjordet barnehage;56568 
 10.6742338;59.9319653;Saci barnehage;56426 
 10.7746434;59.8831106;Safias familiebarnehage;58239 
 10.7612842;59.9328542;Sagene barnehage;56297 
 10.7782381;59.9195881;Samisk barnehage;56112 
 10.7930850;59.9493842;Sanatoriet barnehage ;56148 
 10.8280759;59.9448146;Sandbakken barnehage;55960 
 10.8575884;59.9536042;Sandåsveien barnehage;56090 
 10.7899172;59.6517079;Saturn familiebarnehage;58240 
 10.7214569;59.9252801;Sawat Dee barnehage;56011 
 10.8985187;59.9403898;Scala private barnehage;55928 
 10.7029939;59.9214272;Schafteløkken barnehage;56012 
 10.7633701;59.9257820;Seilduken barnehage;56132 
 10.7748765;59.9132129;Sigurdsgate familiebarnehage;56073 
 10.7853314;59.9339829;Sinsen barnehage;56102 
 10.7899320;59.9388850;Sinsen FUS barnehage;55961 
 10.7876211;59.9320089;Sinsen kirkes barnehage;57909 
 10.7306051;59.9515461;SiO barnehage Almelia;56208 
 10.7196393;59.9369291;SiO barnehage Bamsebo ;56209 
 10.7340462;59.9216070;SiO Barnehage Bisletbekken ;56348 
 10.7247409;59.9405836;SiO barnehage Eilert Sundt ;56211 
 10.7343012;59.9629415;SiO barnehage Frydenhaug ;56212 
 10.7289639;59.9642792;SiO barnehage Klossen;56213 
 10.7343016;59.9229641;SiO Barnehage Lille Bislett ;56349 
 10.7310275;59.9646877;SiO barnehage Skogly ;56215 
 10.7303447;59.9521760;SiO barnehage Sogn;56216 
 10.7283472;59.9529295;SiO barnehage Vestre Sogn;56218 
 10.8325275;59.9390573;Sisiktoppen barnehage;55962 
 10.7677354;59.9214715;Sjokoladefabrikken barnehage;56125 
 10.8227562;59.9494833;Skauen barnehage;55963 
 10.8119032;59.8722087;Skiferveien barnehage;56230 
 10.7136825;59.9143904;Skillebekk barnehage;56013 
 10.6717880;59.9642600;Skistua barnehage;56501 
 10.8734882;59.9287037;Skjønhaug SMART språktilbud;55915 
 10.6465473;59.9173935;Skogbrynet Kanvas-barnehage;56427 
 10.6413866;59.9332290;Skogfuglen barnehage;56428 
 10.8630418;59.9570214;Skogkanten Barnehage A/S;56100 
 10.7607788;59.9133980;Skomakergata gårds- og naturbarnehage;56067 
 10.7973862;59.8651010;Skovheim barnehage;56260 
 10.7916883;59.8507841;Skredder'n barnehage;56272 
 10.7916883;59.8507841;Skredderstua Kulturbarnehage;56241 
 10.7350698;59.9367733;Skrellinga barnehage;56342 
 10.8535191;59.9430016;Skrubbelund barnehage;55964 
 10.8375530;59.8677361;Skullerudhøgda foreldrebarnehage;58429 
 10.6876221;59.9291764;Skøyen kirkes barnehage;56429 
 10.6792773;59.9269973;Skøyen Terrasse Barnehage;56430 
 10.6526604;59.9331483;Slalåmveien barnehage;56431 
 10.8210908;59.9497542;Sletta barnehage;55965 
 10.8375734;59.8315591;Slime gård barnehage;56403 
 10.7946802;59.8439384;Sloreåsen barnehage;56385 
 10.8466056;59.9199003;Smalvollskogen barnehage;55919 
 10.9176598;59.9340994;Smedbakken barnehage;55891 
 10.9148482;59.9529511;Smedstua gård barnehage;56367 
 10.6814555;59.9334703;Smestad barnehage;58081 
 10.6869107;59.9376775;Smestadveien barnehage;56514 
 10.7813367;59.9001396;Smilet familiebarnehage;56074 
 10.7788922;59.9497754;Småen familiebarnehage;56204 
 10.6346106;59.9248125;Småtroll familebarnehage;56450 
 10.7919249;59.9415786;Småtroll familiebarnehage;56205 
 10.6592520;59.9484136;Snippen barnehage;56502 
 10.7635400;59.9224875;Sofienbergparken barnepark;56126 
 10.7689693;59.9223294;Sofienbergparken og Kråkeslottet barnehage;56124 
 10.7307744;59.9399341;Sognsveien barnehage;56149 
 10.8234617;59.8539373;Solbakken barnehage;56409 
 10.6641810;59.9212182;Solbakken barnehage;56432 
 10.7183195;59.9325791;Solbærtorvet barnehage;56014 
 10.8145177;59.9783806;Solemskogen naturbarnehage;56181 
 10.860887 ;59.920786 ;Solfjellet barnehage;55895 
 10.8121155;59.9004753;Solfridbakken barnehage;56569 
 10.6419807;59.9186182;Sollerud Barnehage;56433 
 10.6474066;59.9135732;Sollerudstranda barnehage;56434 
 10.7184963;59.9162196;Solrosen steinerbarnehage;56015 
 10.8429495;59.8997986;Soltoppen barnehage  ;57889 
 10.7753886;59.9138317;Sommerfryd barnehage;56045 
 10.7767835;59.9274142;Sophies Hage barnehage;56109 
 10.7351170;59.9367311;Soria Moria Kanvas-barnehage;56338 
 10.7874743;59.9081948;Sotamyggen barnehage;56046 
 10.7746747;59.8862407;Speiderhytta;56252 
 10.7746747;59.8862407;Sportsplassen barnehage  ;56274 
 10.6365186;59.9474825;Spretten familiebarnehage;56528 
 10.7425623;59.9274036;St. Hanshaugen barnehage;56311 
 10.7035669;59.9239478;Stallen barnehage;56016 
 10.9348017;59.9427481;Starveien barnehage A/L;56375 
 10.8253405;59.8516412;Steinbråten naturbarnehage;56389 
 10.7044178;59.9380969;Steinerud barnehage;56517 
 10.8222466;59.8704143;Steinspranget barnehage;56236 
 10.7158305;59.9150543;Stiftelsen HYDROPARKEN BARNEHAGE;56007 
 10.8764916;59.9701022;Stiftelsen Lillomarka barnehage;56099 
 10.7381516;59.9342655;Stiftelsen NVH barnehagen;56347 
 10.7790484;59.9655784;Stilla barnehage;56182 
 10.8902445;59.9507609;Stjerneblokkveien barnehage;55939 
 10.8563997;59.9202369;Stjernemyra barnehage;55896 
 10.7816112;59.8418720;Store Ljan Barnehage;56261 
 10.8354013;59.8636301;Storgården barnehage;56570 
 10.9281168;59.9634719;Stovnerbakken barnehage;56368 
 10.9258553;59.9556161;Stovnerbakken barnehage avd. kirken;56369 
 10.9312429;59.9610871;Stovnerhøgda barnehage;56370 
 10.8635756;59.9255965;Stubberudlia barnehage;55913 
 10.7173674;59.9142952;Studentenes småbarnsstuer;56017 
 10.7784453;59.9271169;Støperiet barnehageenhet;56116 
 10.7925825;59.9157827;Stålverkskroken barnehage;69305 
 10.7201480;59.9336816;Suhms gate barnehage;56316 
 10.8022463;59.8978411;Svartdalsparken Kanvas-barnehage;56262 
 10.6877319;59.9567136;Svenstuen barnehage;56503 
 10.7799331;59.8793511;Symrahagen familiebarnehage ;58242 
 10.8026410;59.8615733;Sæter barnehage;56249 
 10.6551910;59.9504019;Sætra barnehage;56471 
 10.8386121;59.8511269;Søndre Dal Gård barnehage;56406 
 10.7589078;59.9048487;Sørenga barnehage;58497 
 10.7582292;59.9045553;Sørengkaia barnehage;71891 
 10.8332595;59.9119809;Sørhellinga barnehage;55920 
 10.8245622;59.8940105;Tallberget barnehage;56571 
 10.8409525;59.8215299;Taranrød barnehage;56397 
 10.7785597;59.9255278;Teglverket barnehage;56106 
 10.8166175;59.9144652;Teisen gård barnehage;55921 
 10.8120830;59.9150673;Teisen vest barnehage;55922 
 10.8180113;59.9158621;Teisenparken barnehage;55923 
 10.7068309;59.9305325;Thaulow barnehage;58082 
 10.7698044;59.9397999;Thor Olsen barnehage;56299 
 10.6713612;59.9214400;Tingeliten barnehage;56436 
 10.7131847;59.9121442;Tinkern Kanvas-barnehage;56018 
 10.8901966;59.9640120;Tiurleiken barnehage;56096 
 10.8661108;59.9603005;Tjernveien barnehage;56097 
 10.7206534;59.9049007;Tjuvholmen barnehage;61353 
 10.9281168;59.9634719;Tokerudtoppen barnehage;56361 
 10.9274859;59.9633535;Tokerudåsen barnehage;56360 
 10.6531818;59.9814307;Tommlekollen friluftsbarnehage AS;63370 
 10.8251575;59.9453605;Tonsenhagen barnehage;55966 
 10.8063148;59.9429996;Tonsenjordet barnehage;55967 
 10.7989265;59.8788082;Toppen familiebarnehage;58244 
 10.7699447;59.9328137;Torshovgata barnehage;56301 
 10.7699447;59.9328137;Torshovhagen barnehage;56302 
 10.7729934;59.9341837;Torshovtoppen barnehage;56304 
 10.7270543;59.9240238;Treklang barnehage;56019 
 10.8084177;59.8677707;Treklossen familiebarnehage;58245 
 10.8184560;59.8943237;Treskeveien barnehage;56572 
 10.7414582;59.9251200;Troll familiebarnehage;56334 
 10.8405961;59.8179491;Trollskogen barnehage;56411 
 10.7877858;59.8553527;Trollstua barnehage ;56263 
 10.7351170;59.9367311;Trollstua Kanvas-barnehage;56343 
 10.8531028;59.9013327;Trollungene familiebarnehage;58448 
 10.7027690;59.9497498;Trosteredet barnehage;56509 
 10.8661291;59.9265218;Trosterud senter barnehage;58249 
 10.7789822;59.9142977;Trudes familiebarnehage;56072 
 10.8888361;59.9350908;Trøste og bære barnehage;55929 
 10.6811013;59.9515620;Tråkka barnehage;56472 
 10.6522882;59.9797647;Turi Sletners barnehave;56510 
 10.7245958;59.9362967;Tusentrippen barnehage;56321 
 10.7099005;59.9155261;Tusindhuus barnehage;56020 
 10.8533326;59.8851559;Tveteråsen barnehage;56573 
 10.8080821;59.8792531;Tyrihans barnehage;56237 
 10.6980992;59.9254727;Tørtberg Kanvas-barnehage;56437 
 10.7678730;59.9143546;Tøyengata barnehage;56047 
 10.7419247;59.9441751;Tåsen barnehage;56150 
 10.7501068;59.9538042;Tåsen skoles barnehage;56183 
 10.7467356;59.9437258;Tåsenløkka barnehage;72286 
 10.6403814;59.9217934;Ullern barnehage;58073 
 10.6350285;59.9213643;Ullern barnekrybbe;56438 
 10.6515639;59.9350035;Ullernkollen barnehage;58088 
 10.7331841;59.9507304;Ullevålsletta barnehage;56184 
 10.6129804;60.0177501;Ulvestua barnehage;56511 
 10.7740002;59.8710053;Ulvøya barnehage  ;56277 
 10.7149164;59.9410286;Universitetets barnehage;56207 
 10.7221643;59.9216620;Uranienborg barnehage;56021 
 10.8617755;59.9460575;Utforskeren barnehage  A;55968 
 10.8617755;59.9460575;Utforskeren barnehage B;55969 
 10.8617755;59.9460575;Utforskeren barnehage C;55970 
 10.8493984;59.8836199;Utmarkveien barnehage;56574 
 10.7821629;59.9011018;Utsikten barnehage;56048 
 10.8975230;59.9495942;Valhall barnehage;55940 
 10.8018024;59.9191905;Valle barnehage;56049 
 10.7810156;59.9121060;Venkes familiebarnehage;56075 
 10.7351170;59.9367311;Veslefrikk barnehage;56344 
 10.8111111;59.9341160;Veslefrikk familiebarnehage;58525 
 10.7564537;59.9532450;Veslehaugen familiebarnehage;56206 
 10.9350639;59.9581482;Vesthellinga barnehage;56371 
 10.6496339;59.9495800;Vestjordet barnehage;56473 
 10.9271480;59.9728102;Vestliberget barnehage;56353 
 10.9298767;59.9687049;Vestlikollen barnehage;56351 
 10.9275454;59.9720583;Vestliskaret FUS barnehage AS;56372 
 10.9221336;59.9638623;Vestlisletta barnehage;56362 
 10.9260121;59.9686304;Vestlisvingen barnehage;56354 
 10.9300507;59.9729808;Vestlitoppen barnehage;56352 
 10.7330457;59.9329608;Vestre Aker menighets barnehage;56331 
 10.7836102;59.8325871;Vestskrenten barnehage;56386 
 10.8440174;59.8961665;Vetlandsveien barnehage;56589 
 10.7288407;59.9141807;Victoria, UDs barnehage;56023 
 10.7011339;59.9218222;Vigelandsparken barnehage;56024 
 10.6821663;59.9501649;Villa Utsikten barnehage;56512 
 10.7498464;59.9376855;Voldsløkka barnehage ;56151 
 10.749478 ;59.94117  ;Voldsløkka barnehage for hørselshemmede;57966 
 10.6564550;59.9158594;Vækerø gård barnehage;56440 
 10.7543495;59.9324419;Vøyensvingen barnehage;56306 
 10.7842876;59.9079129;Vålerenggata barnehage;63061 
 10.7882351;59.8958468;Vårveien barnehage;56247 
 10.7530085;59.9278039;Waldemars barnehage;56127 
 10.8084613;59.9319889;Økern barnehage;55971 
 10.8226215;59.9390312;Økernbråten barnehage;55972 
 10.8074962;59.9335154;Økernly barnehage;55973 
 10.8138547;59.9389236;Økernveien familiebarnehage;58526 
 10.8314686;59.9402106;Økernveien familiebarnehage, avd. Veksthusfløtten;58528 
 10.6304276;59.9214814;Øraker barnehage;56441 
 10.8844309;59.9391160;Østausa barnehage;55890 
 10.8340494;59.9026910;Østensjø Kanvas-barnehage;56588 
 10.8414203;59.8748446;Østensjøstua foreldrebarnehage;58430 
 10.8517873;59.8994317;Østmarka Idrettsbarnehage AS;56586 
 10.9202335;59.9431788;Øvre Høybråten barnehage;56363 
 10.7781454;59.9081922;Åkeberg barnehage;56050 
 10.7629823;59.9462074;Åpen barnehage;67790 
 10.8773174;59.9620272;Åpen barnehage;56098 
 10.9202437;59.9595512;Åpen barnehage - Bydel Stovner;56359 
 10.8476058;59.9446324;Åpen barnehage Bjerke Familiesenter;55974 
 10.8118796;59.9456223;Årvoll barnehage;55975 
 10.8178991;59.9508838;Årvollskogen barnehage;55976 
 10.8135197;59.9456924;Årvollveien estetiske barnehage;55977 
 10.7839867;59.8255242;Åsbråten barnehage;56387 
 10.7709402;59.9376721;Åsenhagen barnehage;56307 
 10.771832 ;59.938179 ;Åsenhagen Åpen barnehage;56308 
 10.7881761;59.8276983;Åstun barnehage;56394}]}
