 lo;la;Name 
 10.7992604;59.8712121;Den blå appelsin  ;56268 
 10.7172832;59.9170164;Den Franske Skoles barnehage;55987 
 10.7430430;59.9256118;Den Jødiske barnehage;56324 
 10.8245323;59.9167395;Den russiske barnehage;55908 
 10.7256793;59.9251032;Deutscher Kindergarten;55988 
 10.7941010;59.9427900;Disen gårds Kanvas- barnehage;56159 
 10.7965905;59.9430852;Disengrenda barnehage;56138 
 10.6712830;59.9272554;Dokka Barnehage;56417 
 10.7383898;59.9198864;Dr. Brandts barnehage;56325 
 10.7954301;59.8715213;Drengestua barnehage;56232 
 10.7510840;59.9383520;Dronning Louises barnehage;56284 
 10.6814757;59.9495488;Du og Jeg og Vi To familiebarnehage;56527 
 10.8001660;59.9066493;Dumpa Kanvas-musikkbarnehage;56053 
 10.7759025;59.9313188;Dynekilen barnehage;56104 
 10.8504505;59.8924969;Eftasåsen barnehage;56550 
 10.7483236;59.9446470;Eikenøtten barnehage;56160 
 10.7935521;59.9050174;Eitillstad FUS barnehage;62343 
 10.7786822;59.8925967;Ekeberg idrettsbarnehage AS;56254 
 10.9215681;59.9375740;Ellingsrud private barnehage;55933 
 10.6677771;59.9243345;Elmholt barnehage;58037 
 10.8077298;59.8467290;Elverhøy barnehage;56395 
 10.7682325;59.9137817;Enerhaugen barnehage;56026 
 10.7850569;59.9073531;Enga barnehage;56054 
 10.7761011;59.9608444;Engebråten barnehage;56139 
 10.8197564;59.8847047;Engleslottet familiebarnehage;58432 
 10.7210125;59.9550293;Eplehagen Kanvasbarnehage;56220 
 10.7933050;59.8583527;Eplekneika barnehage  ;56269 
 10.7898616;59.9209578;Espira Marienfryd barnehage;70848 
 10.7990333;59.9327306;Espira Spirea;65922 
 10.7813091;59.9376873;Espira Torshovdalen barnehage;72083 
 10.8026718;59.9109012;Etterstad barnehage;56027 
 10.7912931;59.9094229;Etterstadgata barnehage;56028 
 10.8032858;59.9082252;Etterstadjordet barnehage;56029 
 10.8054453;59.9089306;Etterstadsletta barnehage;56030 
 10.7576221;59.9170818;Eventyrbrua Steinerbarnehage;56131 
 10.8188982;59.8478669;Eventyrlia FUS barnehage as;56404 
 10.7732831;59.9488563;Eventyrstua barnehage;56161 
 10.7307734;59.9330975;Fagerborg Menighetsbarnehage;56326 
 10.7266601;59.9298647;Fagerborggaten barnehage;56317 
